Name,Year.of.deployment,Type.of.wreck,Location.Country,Location.City.State.Province,Location.Water.Body,Depth,Latitude,Longitude,Accuracy,Last.update,Source,Notes,ISO.Country.Code,ISO.Country.Code.1,ISO.Country.Code.state.province,ID,calcite,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,damax,damean,damin,dissox,nitrate,parmax,parmean,ph,phos,salinity,silicate,sstmax,sstmean,sstmin,sstrange,Wreck.Category,Protected.Area,Name.Protected.Area,Near.Coral.ID,Distance.Coral,Near.Aquarium.Name,Distance.Aquarium,Last.update.Year,Last.update.Month,Last.update.Day,Purpose.of.deployment,Method.of.sinking,Baseline.survey,Monitoring,Method.of.monitoring,Research.outcome,Life.span.years,Source.1,Min.Est.Lifespan,Max.Est.Lifespan
Amar,1998,vessel,Mauritius,,Indian Ocean,,-20.01075,57.53595,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,11,0.000105,0.171000004,0.123999998,0.075999998,0.095000014,0.671000004,0.559000015,0.488000005,0.039000001,0.034000002,0.027000001,4.742000103,1.625,55.52399826,42.45700073,8.267000198,0.168899998,35.10400009,3.733999968,28.35099983,25.93600082,23.44000053,4.910999775,other,0,0,32414,1.467478,Mitchell Park Zoo,2879.459925,,,,,,,,,,,,50,100
Star Hope,1998,ship,Mauritius,,Indian Ocean,,-20.00312,57.52293,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,12,0.000105,0.171000004,0.123999998,0.075999998,0.095000014,0.671000004,0.559000015,0.488000005,0.039000001,0.034000002,0.027000001,4.742000103,1.625,55.52399826,42.45700073,8.267000198,0.168899998,35.10400009,3.733999968,28.35099983,25.93600082,23.44000053,4.910999775,other,0,0,32414,3.007439,Mitchell Park Zoo,2878.638898,,,,,,,,,,,,,
Hoi Siong,2003,fishing vessel,Mauritius,,Indian Ocean,,-20.46559,57.29254,Low,,http://www.mmcs-ngo.org/en/projects/artificial-reefs/map-and-history-of-the-artificial-reefs-around-mauritius.aspx,Due to local legal issues exact coordinates was not available; instead they were estimated based on a map drawing,MUS,480,,13,0.018769,0.134000003,0.111000001,0.066,0.068000004,0.649999976,0.550999999,0.437000006,0.035999998,0.032000002,0.026000001,4.751999855,1.684999943,55.75299835,41.44100189,8.267999649,0.166800007,35.13600159,3.719000101,28.66500092,26.00399971,23.40099907,5.263999939,fishing vessel,0,0,32414,56.889412,Mitchell Park Zoo,2833.919811,,,,,,,,,,,,50,100
G. B. Church MV,1991,cargo ship,Canada, British Columbia,Moresby Passage,,48.72205,-123.35565,,,http://artificialreefsocietybc.ca/g-b-church.html,,CAN,124,CA-BC,14,0.00005,6.28000021,3.651000023,1.116000056,5.164000034,0.81099999,0.663999975,0.437000006,0.298999995,0.250999987,0.224999994,6.485000134,8.050999641,53.58300018,33.20800018,7.892000198,1.555299997,28.35700035,38.54399872,14.05599976,10.22399998,7.47300005,6.583000183,dry cargo vessel,0,0,32828,1349.293335,Crystal Garden Conservation Center (extinct 2004),32.67622332,,,,,,,,,,,,50,100
Chaudiere HMCS (DDE-235),1992,destroyer,Canada, British Columbia,Straight of Georgia,,49.62823,-123.81165,,,http://artificialreefsocietybc.ca/chaudiere.html,,CAN,124,CA-BC,15,0.00138,33.98300171,16.13999939,1.121000051,32.86199951,0.85799998,0.717000008,0.509000003,0.565999985,0.358999997,0.129999995,7.127999783,6.001999855,49.32300186,31.34700012,7.926000118,0.760299981,24.5739994,39.77000046,17.27400017,9.630000114,-1.039999962,18.31399918,warship,0,0,32828,1453.07046,Vancouver Aquarium Marine Science Ctr,60.53011047,,,,,,,,,,,,50,100
Columbia HMCS (DDE-260),1996,destroyer,Canada, British Columbia,Campbell River,,50.13385,-125.33587,,,http://artificialreefsocietybc.ca/columbia.html,,CAN,124,CA-BC,16,0.000211,26.1779995,11.60299969,1.062999964,25.11499977,0.853999972,0.70599997,0.479999989,0.437999994,0.291000009,0.131999999,5.278999805,5.074999809,51.50999832,32.04899979,8.211999893,0.965200007,29.2329998,24.09700012,12.56200027,8.267999649,-0.25,12.81200027,warship,0,0,32828,1526.235559,Vancouver Aquarium Marine Science Ctr,183.1949435,,,,,,,,,,,,50,100
Saskatchewan HMCS (DDE-262),1997,destroyer,Canada, British Columbia,Straight of Georgia,,49.216,-123.8845,,,http://artificialreefsocietybc.ca/saskatchewan.html,,CAN,124,CA-BC,17,0.002358,22.20000076,15.22900009,6.480999947,15.71899986,0.901000023,0.697000027,0.476999998,0.449000001,0.370000005,0.250999987,6.986000061,6.849999905,50.5870018,32.47000122,7.899000168,0.862299979,26.81200027,37.29299927,17.32799911,11.42599964,6.818999767,10.50899982,warship,0,0,32828,1408.217211,Vancouver Aquarium Marine Science Ctr,54.84643136,,,,,,,,,,,,50,100
Cape Breton HMCS,2001,repair ship,Canada, British Columbia,Straight of Georgia,,49.21467,-123.88445,,,http://artificialreefsocietybc.ca/cape-breton.html,,CAN,124,CA-BC,18,0.002358,22.20000076,15.22900009,6.480999947,15.71899986,0.901000023,0.697000027,0.476999998,0.449000001,0.370000005,0.250999987,6.986000061,6.849999905,50.5870018,32.47000122,7.899000168,0.862299979,26.81200027,37.29299927,17.32799911,11.42599964,6.818999767,10.50899982,service vessel,0,0,32828,1408.070029,Vancouver Aquarium Marine Science Ctr,54.86969442,,,,,,,,,,,,,
Annapolis HMCS (DDH-265),2015,destroyer,Canada, British Columbia,Halkett Bay,,49.44917,-123.33083,,,http://artificialreefsocietybc.ca/annapolis.html,,CAN,124,CA-BC,19,0.007291,20.8220005,13.83899975,7.230999947,13.5909996,0.822000027,0.730000019,0.523000002,0.449999988,0.388000011,0.291000009,7.008999825,6.604000092,50.22200012,31.99500084,7.90500021,0.761500001,22.29899979,39.2179985,17.48999977,11.39099979,6.385000229,11.10499954,warship,0,0,32828,1429.633911,Vancouver Aquarium Marine Science Ctr,21.27945637,,,,,,,,,,,,50,100
Mackenzie HMCS (DDE-261),1995,destroyer escort,Canada, British Columbia,The Coastal Waters of Southeast Alaska and British Columbia,,48.66823,-123.28617,,,http://artificialreefsocietybc.ca/mackenzie.html,,CAN,124,CA-BC,20,0.000569,12.48400021,5.327000141,2.207000017,10.27700043,0.822000027,0.663999975,0.432000011,0.398000002,0.259000003,0.187000006,6.396999836,8.088000298,53.58300018,33.20800018,7.890999794,1.570799947,28.51399994,38.81900024,13.64799976,10.07699966,7.388999939,6.258999825,warship,0,0,32828,1342.850033,Crystal Garden Conservation Center (extinct 2004),27.35965532,,,,,,,,,,,,50,100
P-29,2007,patrol boat,Malta,,Mediterranean sea,35,35.98778,14.32861,,,https://en.wikipedia.org/wiki/Maltese_patrol_boat_P29,,MLT,470,,21,0.000081,0.226999998,0.144999996,0.101000004,0.126000002,0.606999993,0.449000001,0.223000005,0.045000002,0.035999998,0.030999999,5.106999874,0.587000012,61.52799988,39.82400131,8.213000298,0.091799997,37.77600098,1.707000017,26.5739994,20.51199913,15.14000034,11.43400002,service vessel,0,0,28918,229.59788,Acquario di Genova,1041.56575,,,,,,,,,,,,,
Rozi MV,1991,tug,Malta,,Mediterranean sea,36,35.98778,14.32861,,,https://en.wikipedia.org/wiki/MV_Rozi,,MLT,470,,22,0.000081,0.226999998,0.144999996,0.101000004,0.126000002,0.606999993,0.449000001,0.223000005,0.045000002,0.035999998,0.030999999,5.106999874,0.587000012,61.52799988,39.82400131,8.213000298,0.091799997,37.77600098,1.707000017,26.5739994,20.51199913,15.14000034,11.43400002,service vessel,0,0,28918,229.59788,Acquario di Genova,1041.56575,,,,,,,,,,,,50,100
Um El Faroud MV,1998,tanker,Malta,,Mediterranean sea,36,35.82,14.45067,,,https://en.wikipedia.org/wiki/Um_El_Faroud,,MLT,470,,23,0.000082,0.211999997,0.141000003,0.097000003,0.115000002,0.646000028,0.469999999,0.215000004,0.044,0.035,0.029999999,5.105000019,0.593999982,59.50799942,39.04000092,8.211999893,0.091899998,37.81399918,1.695000052,26.71299934,20.5340004,14.92800045,11.78499985,tanker,1,Rdumijiet ta' Malta: Ix-Xaqqa sa Wied Moqbol,28918,247.212151,Acquario di Genova,1063.075328,,,,,,,,,,,,,
Fontao MFV,1991,trawler,South Africa,,Indian Ocean,27,-29.74293,31.09582,,2011,http://www.famouspublishing.co.za/ridge/wreck-dive-off-umhlanga/,,ZAF,710,,24,0.000676,1.409000039,0.991999984,0.577000022,0.832000017,0.691999972,0.486000001,0.275000006,0.142000005,0.112000003,0.086999997,4.903999805,1.406999946,54.8429985,39.13499832,8.234999657,0.324299991,35.42699814,2.34100008,26.12700081,23.34600067,21.04000092,5.086999893,fishing vessel,0,0,26350,62.691537,Mitchell Park Zoo,9.44799163,2011,,,,,,,,,,,,
HMNZS Canterbury (F421),2007,frigate,New Zealand,,"Bay of Islands, South Pacific Ocean",38,-35.1938,174.2944,,,https://en.wikipedia.org/wiki/HMNZS_Canterbury_(F421),,NZL,554,,25,0.000303,3.792999983,1.00999999,0.368999988,3.424000025,0.596000016,0.542999983,0.47299999,0.202999994,0.115000002,0.066,5.364999771,2.769000053,54.10699844,35.31900024,8.262000084,0.209900007,35.38499832,2.154999971,21.05800056,17.87199974,15.09300041,5.965000153,warship,0,0,32901,1427.532622,Auckland Zoological Park,191.3251885,,,,,,,,,,,,50,100
HMNZS Tui,1999,oceanographic ship,New Zealand,,South Pacific Ocean,,-35.5832,174.5394,,,https://en.wikipedia.org/wiki/HMNZS_Tui_(1970),,NZL,554,,26,0.000438,2.032999992,0.745000005,0.381999999,1.651000023,0.660000026,0.573000014,0.49000001,0.158999994,0.096000001,0.067000002,5.375999928,2.832000017,54.00500107,35.69900131,8.262000084,0.211999997,35.36700058,2.180000067,21.01099968,17.70299911,14.64900017,6.361999989,service vessel,0,0,32901,1476.122371,Auckland Zoological Park,144.1661675,,,,,,,,,,,,,
Waikato HMNZS,2000,frigate,New Zealand,, South Pacific Ocean,,-35.6528,174.5445,,,https://en.wikipedia.org/wiki/HMNZS_Waikato_(F55),,NZL,554,,27,0.000429,1.697000027,0.737999976,0.363999993,1.332999945,0.686999977,0.578999996,0.469000012,0.143999994,0.096000001,0.064000003,5.379000187,2.839999914,54.68600082,35.61800003,8.262000084,0.212799996,35.36199951,2.187000036,20.98800087,17.72400093,14.69200039,6.296000004,warship,0,0,32901,1483.132909,Auckland Zoological Park,136.5047453,,,,,,,,,,,,50,100
HMNZS Wellington,2005,frigate,New Zealand,,Fitzroy Bay,21,-41.353,174.78,,,https://en.wikipedia.org/wiki/HMNZS_Wellington_(F69),,NZL,554,,28,0.002562,0.769999981,0.65200001,0.518000007,0.252000004,0.680999994,0.629000008,0.549000025,0.101999998,0.093999997,0.082999997,5.863999844,4.535999775,55.07500076,33.48400116,8.234999657,0.370000005,34.81700134,2.447000027,16.67000008,14.16499996,12.06400013,4.605999947,warship,1,Taputeranga,33770,1773.459234,Wellington Zoo Trust,3.738557991,,,,,,,,,,,,50,100
Rainbow Warrior MV,1987,trawler,New Zealand,,South Pacific Ocean,,-34.9748,173.9349,,,https://en.wikipedia.org/wiki/Rainbow_Warrior_(1955),,NZL,554,,29,0.000291,1.251000047,0.681999981,0.312999994,0.938000083,0.583999991,0.535000026,0.460999995,0.126000002,0.090999998,0.057999998,5.355000019,2.720999956,56.50600052,36.92900085,8.26099968,0.209000006,35.39799881,2.127000093,20.95899963,17.79899979,15.01099968,5.947999954,fishing vessel,0,0,32901,1390.706735,Auckland Zoological Park,224.7084492,,,,,,,,,,,,,
Khramto HTMS (L-732),2003,landing craft,Thailand,,Gulf of Thailand*,,12.93535,100.8697,Low,,http://www.navsource.org/archives/10/14/14469.htm,Coordinates estimated based on the location description in the source document,THA,764,,30,0.003069,11.8739996,3.270999908,1.006999969,10.86699963,0.859000027,0.656000018,0.372999996,0.340000004,0.196999997,0.123000003,4.368000031,0.800999999,49,44.64699936,8.329999924,0.165800005,31.20499992,12.36299992,32.125,29.79100037,27.4470005,4.677999973,warship,0,0,5133,545.864237,Chiangmai Night Safari (DASTA),675.7172416,,,,,,,,,,,,,
USS Jubilant (AM-255),2001,minesweeper,Mexico, Veracruz,Gulf of Mexico,,18.8209,-95.60976,Low,,http://www.navsource.org/archives/11/02255.htm,Coordinates estimated based on the location description in the source document,MEX,484,,31,0.005267,5.059999943,2.470000029,0.508000016,4.552000046,0.791000009,0.657999992,0.453999996,0.248999998,0.160999998,0.075999998,4.563000202,1.202999949,53.3030014,41.2879982,8.201000214,0.0515,35.85499954,1.779000044,30.82900047,27.49600029,24.10000038,6.729000092,warship,0,0,21320,36.822344,"Africam Safari (Africam, S. A. de C.V.)",205.5899186,,,,,,,,,,,,,
The Xihwu,2006,aircraft,Canada, British Columbia,Stuart Channel,,48.9357,-123.71883,,,http://artificialreefsocietybc.ca/boeing-737.html,,CAN,840,CA-BC,32,0.009373,4.977000237,4.977000237,4.977000237,0,0.833999991,0.657000005,0.418000013,0.273000002,0.273000002,0.273000002,6.959000111,7.456999779,52.30400085,33.61100006,7.892000198,1.119500041,27.24200058,37.41600037,17.87400055,11.02099991,6.518000126,11.35599995,land item,0,0,32828,1375.793473,Vancouver Aquarium Marine Science Ctr,58.58777429,,,,,,,,,,,,,
NRP Oliveira E Carmo (F489),2012,corvette,Portugal,, North Atlantic Ocean,26-32,37.11108,-8.57532,Low,,http://www.oceanrevival.org/en/projecto/local-mergulho.html,Coordinates estimated based on the location description in the source document,PRT,620,,33,0.002707,6.264999866,3.394000053,0.476999998,5.788000107,0.556999981,0.463,0.256000012,0.300999999,0.203999996,0.079000004,5.554999828,2.089999914,62.40999985,39.6230011,8.164999962,0.137500003,36.23600006,1.307999969,21.31100082,17.9279995,14.84300041,6.467999935,warship,0,0,31299,1513.90265,ZOOMARINE - Mundo Aquatico S.A.,24.41195446,,,,,,,,,,,,,
NRP Zambeze (P1147),2012,patrol boat,Portugal,, North Atlantic Ocean,26-33,37.11355,-8.57567,Low,,http://www.oceanrevival.org/en/projecto/local-mergulho.html,Coordinates estimated based on the location description in the source document,PRT,620,,34,0.002707,6.264999866,3.394000053,0.476999998,5.788000107,0.556999981,0.463,0.256000012,0.300999999,0.203999996,0.079000004,5.554999828,2.089999914,62.40999985,39.6230011,8.164999962,0.137500003,36.23600006,1.307999969,21.31100082,17.9279995,14.84300041,6.467999935,service vessel,0,0,31299,1513.641187,ZOOMARINE - Mundo Aquatico S.A.,24.42578031,,,,,,,,,,,,,
Almeida Carvalho,2013,hydrographic ship,Portugal,, North Atlantic Ocean,26-34,37.10835,-8.57635,Low,,http://www.oceanrevival.org/en/projecto/local-mergulho.html,Coordinates estimated based on the location description in the source document,PRT,620,,35,0.002707,6.264999866,3.394000053,0.476999998,5.788000107,0.556999981,0.463,0.256000012,0.300999999,0.203999996,0.079000004,5.554999828,2.089999914,62.40999985,39.6230011,8.164999962,0.137500003,36.23600006,1.307999969,21.31100082,17.9279995,14.84300041,6.467999935,service vessel,0,0,31299,1514.218097,ZOOMARINE - Mundo Aquatico S.A.,24.52581662,,,,,,,,,,,,,
Hermenegildo Capelo,2013,frigate,Portugal,, North Atlantic Ocean,26-35,37.10561,-8.57635,Low,,http://www.oceanrevival.org/en/projecto/local-mergulho.html,Coordinates estimated based on the location description in the source document,PRT,620,,36,0.002707,6.264999866,3.394000053,0.476999998,5.788000107,0.556999981,0.463,0.256000012,0.300999999,0.203999996,0.079000004,5.554999828,2.089999914,62.40999985,39.6230011,8.164999962,0.137500003,36.23600006,1.307999969,21.31100082,17.9279995,14.84300041,6.467999935,warship,0,0,31299,1514.515395,ZOOMARINE - Mundo Aquatico S.A.,24.55216553,,,,,,,,,,,,50,100
Beyond,2000,sailboat,USA, New York,North Atlantic Ocean,,40.53583,-73.65555,,2006,http://www.aquaexplorers.com/artificialreefprogramny.htm,,USA,840,US-NY,37,0.004049,14.48400021,7.862999916,3.382999897,11.10099983,0.68599999,0.609000027,0.479000002,0.368000001,0.296999991,0.224999994,6.346000195,2.040999889,50.64300156,32.05899811,7.940999985,0.655200005,30.33499908,2.256000042,23.20700073,13.24300003,3.999000072,19.20800018,other,1,Waters off New Jersey,6565,356.643196,New York Aquarium,27.55242224,2006,,,,,,,,,,,,
Peregrine,2002,ship,USA, New York,North Atlantic Ocean,,40.63353,-73.2394,,2006,http://www.aquaexplorers.com/artificialreefprogramny.htm,,USA,840,US-NY,38,0.004903,24.78199959,12.54899979,2.513000011,22.2689991,0.638000011,0.566999972,0.435000002,0.446999997,0.324999988,0.195999995,6.315999985,1.906000018,51.24300003,32.80799866,7.977000237,0.615400016,30.89999962,2.246999979,23.42099953,12.89700031,3.232000113,20.18899918,other,1,Waters off New Jersey,6565,390.791813,State University At Stonybrook,32.42242098,2006,,,,,,,,,,,,
The Boat,2002,ship,USA, New York,North Atlantic Ocean,,40.72338,-72.77765,,2006,http://www.aquaexplorers.com/artificialreefprogramny.htm,Moriches Artificial Reef,USA,840,US-NY,39,0.001939,5.731999874,3.276000023,2.157000065,3.575000048,0.660000026,0.559000015,0.442999989,0.270000011,0.213,0.179000005,6.275000095,1.830000043,49.95100021,32.82300186,8.012000084,0.589399993,30.93600082,2.282000065,21.98500061,12.58600044,3.536999941,18.44799995,other,1,Mid-Atlantic Coastal Waters Area,6565,429.172556,Long Island Aquarium and Exhibition Center,23.85966383,2006,,,,,,,,,,,,
Hancock Barge,2003,barge,USA, New York,North Atlantic Ocean,,40.53598,-73.6578,,2006,http://www.aquaexplorers.com/artificialreefprogramny.htm,,USA,840,US-NY,40,0.004049,14.48400021,7.862999916,3.382999897,11.10099983,0.68599999,0.609000027,0.479000002,0.368000001,0.296999991,0.224999994,6.346000195,2.040999889,50.64300156,32.05899811,7.940999985,0.655200005,30.33499908,2.256000042,23.20700073,13.24300003,3.999000072,19.20800018,service vessel,1,Waters off New Jersey,6565,356.451871,New York Aquarium,27.36160498,2006,,,,,,,,,,,50,100
Sam Berman MV,1987,tanker,USA, New York,North Atlantic Ocean,,40.0644,-73.41181,,2006,http://www.aquaexplorers.com/artificialreefprogramny.htm,,USA,840,US-NY,41,0.000362,2.068000078,1.350000024,0.769999981,1.297999978,0.698000014,0.591000021,0.479000002,0.171000004,0.136000007,0.107000001,6.288000107,1.547999978,51.61999893,32.78900146,8.012999535,0.475800008,31.77899933,1.863999963,23.44000053,13.66899967,5.21999979,18.21999931,tanker,1,Waters off New Jersey,6565,385.996692,Jenkinson's Aquarium,53.38885915,2006,,,,,,,,,,,,
Cape Fear MFV (655734),2000,trawler,USA, New York,North Atlantic Ocean,,40.72493,-72.77258,,2006,http://www.aquaexplorers.com/gpsnynjartificialreef.pdf,Moriches Artificial Reef,USA,840,US-NY,42,0.001939,5.731999874,3.276000023,2.157000065,3.575000048,0.660000026,0.559000015,0.442999989,0.270000011,0.213,0.179000005,6.275000095,1.830000043,49.95100021,32.82300186,8.012000084,0.589399993,30.93600082,2.282000065,21.98500061,12.58600044,3.536999941,18.44799995,fishing vessel,1,Mid-Atlantic Coastal Waters Area,6565,429.592358,Long Island Aquarium and Exhibition Center,23.52558316,2006,,,,,,,,,,,,
Steel Barge No.335,1996,barge,USA, New York,North Atlantic Ocean,,40.72535,-72.77175,,2006,http://www.aquaexplorers.com/gpsnynjartificialreef.pdf,Moriches Artificial Reef,USA,840,US-NY,43,0.001939,5.731999874,3.276000023,2.157000065,3.575000048,0.660000026,0.559000015,0.442999989,0.270000011,0.213,0.179000005,6.275000095,1.830000043,49.95100021,32.82300186,8.012000084,0.589399993,30.93600082,2.282000065,21.98500061,12.58600044,3.536999941,18.44799995,service vessel,1,Mid-Atlantic Coastal Waters Area,6565,429.66023,Long Island Aquarium and Exhibition Center,23.45443139,2006,,,,,,,,,,,50,100
Captain Sam MFV,1998,trawler,USA, New York,North Atlantic Ocean,,40.7251,-72.77328,,2006,http://www.aquaexplorers.com/gpsnynjartificialreef.pdf,Moriches Artificial Reef,USA,840,US-NY,44,0.001939,5.731999874,3.276000023,2.157000065,3.575000048,0.660000026,0.559000015,0.442999989,0.270000011,0.213,0.179000005,6.275000095,1.830000043,49.95100021,32.82300186,8.012000084,0.589399993,30.93600082,2.282000065,21.98500061,12.58600044,3.536999941,18.44799995,fishing vessel,1,Mid-Atlantic Coastal Waters Area,6565,429.532403,Long Island Aquarium and Exhibition Center,23.53256137,2006,,,,,,,,,,,,
Niagara Falls MFV,1998,trawler,USA, New York,North Atlantic Ocean,,40.7251,-72.77435,,2006,http://www.aquaexplorers.com/gpsnynjartificialreef.pdf,Moriches Artificial Reef,USA,840,US-NY,45,0.001939,5.731999874,3.276000023,2.157000065,3.575000048,0.660000026,0.559000015,0.442999989,0.270000011,0.213,0.179000005,6.275000095,1.830000043,49.95100021,32.82300186,8.012000084,0.589399993,30.93600082,2.282000065,21.98500061,12.58600044,3.536999941,18.44799995,fishing vessel,1,Mid-Atlantic Coastal Waters Area,6565,429.442104,Long Island Aquarium and Exhibition Center,23.56980884,2006,,,,,,,,,,,,
